Site,NH4,NO2,NO2+NO3,PO4,Ca,Mg,Na,K,Zn,Mn,Fe,OC,IC,TC
1,0.1,0.003,0.07,0.045,41.9,6.349,12.845,2.84,0.006,0.043,0.023,1.62,34.69,36.31
2,0.048,0.001,0.04,0.021,38.4,6.368,12.672,2.606,0.007,0.034,0.017,1.19,31.88,33.07
3,0.02,0.001,0.03,0.022,38.3,6.282,12.527,2.827,0.006,0.031,0.007,1.21,33.48,34.69
4,0.065,0.002,0.04,0.034,36.8,6.343,11.432,2.632,0.012,0.026,0.039,1.42,32.38,33.8
5,0.063,0.002,0.05,0.024,40,6.872,14.31,2.905,0.006,0.015,0.06,1.93,33.3,35.24
6,0.055,0.002,0.04,0.026,37.9,6.639,13.801,2.486,0.006,0.022,0.099,1.74,33.89,35.62
7,0.055,0.002,0.05,0.025,38.3,6.582,13.734,2.359,0.006,0.02,0.015,1.95,33.95,35.9
8,0.057,0.002,0.03,0.024,38.7,6.095,12.86,2.635,0.008,0.023,0.019,0.26,33.63,33.88
9,0.057,0.002,0.04,0.022,38.5,6.127,13.067,2.659,0.012,0.024,0.01,1.41,32.75,34.16
10,0.05,0.002,0.04,0.018,40,6.667,14.137,2.396,0.008,0.025,0.08,1.5,34.97,36.47
11,0.033,0.005,0.04,0.016,38.8,6.623,13.924,2.359,0.009,0.024,0.026,1.89,34.82,36.71
12,0.03,0.004,0.05,0.009,40.2,6.682,14.024,2.376,0.001,0.02,0.054,1.43,35.21,36.64
13,0.036,0.004,0.02,0.016,39.2,6.711,14.107,2.524,0,0.021,0.012,0,35.69,35.57
14,0.02,0.005,0,0.011,38.5,6.712,14.126,2.724,0,0.023,0.061,0.93,35.84,36.77
15,0.074,0.006,0.05,0.031,39,6.104,13.399,2.579,0,0.032,0.032,1.77,34.97,36.74
